Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
127,Vieira Ltda,S.A. Debitis,67.598.310/0001-20,7020-4/00 (Consultoria empresarial),"Passarela de Pereira, 34",Sales Paulista,MG,Brasil,yasminrezende@da.com,81 3846 1442,Inativa
128,da Rocha Lima S.A. Ltda,S.A. Laborum,32.071.845/0001-64,4671-6/00 (Com. atac. insumos agrícolas),"Ladeira Moura, 7",Melo da Prata,PE,Brasil,enrico88@araujo.br,0500-759-3166,Ativa
129,Fernandes - EI Ltda,Ltda. Distinctio,09.237.851/0001-27,3511-5/00 (Geração de energia solar),"Trecho de Nunes, 911",da Rosa,MT,Brasil,cda-conceicao@azevedo.br,+55 (084) 6916-3511,Ativa
130,Fogaça Duarte e Filhos Ltda,e Filhos Dolores,36.817.025/0001-20,6201-5/01 (Desenvolvimento de software),"Rodovia Cavalcanti, 555",Sales,RJ,Brasil,heloisabarros@ferreira.com,+55 (051) 1551 9413,Ativa
131,Campos Ltda,S/A Mollitia,72.516.940/0001-49,8599-6/04 (Treinamento profissional),"Avenida de Rezende, 98",Pereira,ES,Brasil,laiscastro@da.org,+55 51 7737 4737,Inativa
132,da Rosa Nunes Ltda. Ltda,- ME Fuga,62.854.930/0001-60,6619-3/02 (Serviços financeiros),"Trevo Monteiro, 540",da Rosa de Novaes,ES,Brasil,isadora50@azevedo.br,+55 (041) 9800 0694,Inativa
133,Melo Ltda,e Filhos Alias,86.132.054/0001-26,1091-1/02 (Fabricação de alimentos),Via Maria Eduarda Costa,Souza,RS,Brasil,vianabernardo@oliveira.com,+55 (061) 1283-3794,Ativa
134,da Rocha Ltda,S/A Quasi,87.169.532/0001-35,8020-0/01 (Monitoramento de segurança),"Campo Luiz Felipe Dias, 3",Rodrigues das Pedras,GO,Brasil,gabrielaazevedo@da.br,0500 204 6977,Inativa
135,Melo Ltda,e Filhos Quibusdam,31.467.589/0001-66,2063-1/00 (Fabricação de cosméticos),"Lagoa de Duarte, 564",Martins Alegre,TO,Brasil,diogojesus@da.com,+55 51 6825 3673,Inativa
136,Silveira Ltda,Ltda. Mollitia,17.850.962/0001-32,1091-1/02 (Fabricação de alimentos),"Jardim Anthony Nogueira, 13",Caldeira,PA,Brasil,bmelo@barbosa.org,(071) 9901-0298,Ativa
137,da Cunha Melo - ME Ltda,S.A. Quae,47.350.219/0001-84,8599-6/04 (Treinamento profissional),"Conjunto Alves, 8",Jesus do Galho,AC,Brasil,zrezende@azevedo.com,41 6515-0783,Inativa
138,Nascimento Ltda,S/A Non,79.261.048/0001-03,8020-0/01 (Monitoramento de segurança),"Sítio de Nunes, 44",Lopes,RO,Brasil,davi99@cavalcanti.br,11 4620 8226,Inativa
139,Jesus Teixeira - EI Ltda,S/A Asperiores,30.562.971/0001-96,6201-5/01 (Desenvolvimento de software),"Núcleo Francisco Campos, 28",da Costa,CE,Brasil,amanda38@moraes.br,+55 61 8081-6196,Ativa
140,Cardoso Ltda,e Filhos Consequuntur,72.651.309/0001-52,7020-4/00 (Consultoria empresarial),"Lago Gustavo Henrique Cardoso, 678",Barbosa,TO,Brasil,ana-luizasantos@cunha.com,+55 (081) 4834-0854,Inativa
141,Costela Ltda,S/A Earum,94.372.081/0001-02,1091-1/02 (Fabricação de alimentos),"Vila de Alves, 61",Dias Paulista,SP,Brasil,wsantos@carvalho.com,61 6453 8399,Inativa
142,Rodrigues S.A. Ltda,S.A. Hic,29.710.563/0001-55,1091-1/02 (Fabricação de alimentos),"Vereda Raquel Araújo, 59",Barbosa Verde,DF,Brasil,carolina61@carvalho.br,21 3990 1573,Ativa
143,Gonçalves Ltda,e Filhos Consequuntur,01.678.354/0001-52,1091-1/02 (Fabricação de alimentos),"Viela de Nunes, 372",Souza,PB,Brasil,oliveiraleticia@da.com,0300 957 9376,Ativa
144,da Cruz Ltda. Ltda,Ltda. Quidem,46.053.781/0001-83,6201-5/01 (Desenvolvimento de software),"Viela Gabrielly Moreira, 29",da Rocha das Pedras,PB,Brasil,ana-luiza27@campos.org,0300 392 8412,Inativa
145,Teixeira - ME Ltda,- EI Perspiciatis,42.065.381/0001-37,7020-4/00 (Consultoria empresarial),"Vila Azevedo, 4",Carvalho do Norte,MG,Brasil,hda-rocha@aragao.com,(071) 9010-4272,Ativa
146,Duarte das Neves - EI Ltda,e Filhos Ad,07.821.946/0001-68,8020-0/01 (Monitoramento de segurança),"Avenida Dias, 14",Ferreira de Castro,PI,Brasil,davi-luccamoura@silveira.net,61 9938-8483,Inativa
147,da Mata Moraes S/A Ltda,S/A Illo,69.471.025/0001-70,1091-1/02 (Fabricação de alimentos),Avenida Oliveira,Fogaça,RO,Brasil,lucas00@aragao.br,+55 61 1447 0163,Inativa
148,Fogaça Ltda,- EI Sapiente,12.986.540/0001-75,6619-3/02 (Serviços financeiros),Lago Thiago Freitas,Cunha,PR,Brasil,leonardo31@monteiro.com,+55 (031) 2938-1486,Ativa
149,Moraes S.A. Ltda,- ME Rerum,93.740.816/0001-32,3511-5/00 (Geração de energia solar),"Largo de Mendes, 790",Lopes,MG,Brasil,pmoura@moura.org,+55 (071) 3163-2305,Ativa
150,Campos Ltda,S/A Sed,80.516.237/0001-69,2063-1/00 (Fabricação de cosméticos),"Lago Pedro Pereira, 37",Cunha de Oliveira,PI,Brasil,pedro-miguel10@moraes.net,+55 71 4590 1789,Ativa
151,Aragão Ramos - ME Ltda,S/A Ex,13.854.926/0001-96,6201-5/01 (Desenvolvimento de software),Vila Matheus Alves,Caldeira da Praia,CE,Brasil,ucardoso@vieira.com,(051) 7850-5017,Inativa
152,Almeida Ltda,S.A. Qui,01.693.852/0001-74,7020-4/00 (Consultoria empresarial),"Travessa Vitor Almeida, 409",da Luz,PB,Brasil,ana-sophiada-mota@santos.br,(084) 6475-9981,Ativa
153,Barbosa Porto - ME Ltda,- ME Fugiat,63.075.281/0001-61,3511-5/00 (Geração de energia solar),"Trecho de Aragão, 639",da Costa,SE,Brasil,emilly82@cavalcanti.org,51 3195 6268,Inativa
154,Cavalcanti Ltda,Ltda. Nisi,59.623.708/0001-41,1091-1/02 (Fabricação de alimentos),"Favela Diego Lopes, 7",da Rocha Verde,PA,Brasil,maitepeixoto@correia.com,+55 (084) 4134-1323,Inativa
155,Martins Ltda,Ltda. Dolore,38.701.964/0001-30,4930-2/01 (Transporte de cargas),"Ladeira João Vitor Silva, 525",da Mata,SP,Brasil,alexia45@rocha.br,+55 (051) 9734-6670,Ativa
156,Rodrigues Ltda,Ltda. Sunt,05.728.394/0001-12,4671-6/00 (Com. atac. insumos agrícolas),"Setor de Gomes, 79",Ramos do Campo,MS,Brasil,ioliveira@novaes.br,+55 (011) 5097 8963,Inativa
157,Lima - EI Ltda,- EI Earum,98.350.476/0001-57,2063-1/00 (Fabricação de cosméticos),"Jardim Lopes, 80",Silva,RJ,Brasil,oliveiraluiz-fernando@fogaca.net,(021) 2337 3345,Inativa
158,Martins da Costa S/A Ltda,- ME Earum,39.671.824/0001-29,1091-1/02 (Fabricação de alimentos),Colônia de Lima,Araújo,AL,Brasil,davi74@sales.br,+55 84 3858-9156,Ativa
159,Costa Ltda,- EI Dignissimos,97.642.518/0001-60,2063-1/00 (Fabricação de cosméticos),"Distrito Carvalho, 40",Nogueira da Prata,MS,Brasil,santosmariane@araujo.net,71 6066-9883,Ativa
160,Cardoso Ltda. Ltda,- ME Quibusdam,43.781.926/0001-74,2063-1/00 (Fabricação de cosméticos),"Núcleo Eduardo Almeida, 85",Teixeira,GO,Brasil,camposana-sophia@sales.com,+55 (031) 9138-2701,Inativa
161,Melo Ltda,- ME Laudantium,31.675.902/0001-51,6201-5/01 (Desenvolvimento de software),"Trecho de Rezende, 60",Costa de Jesus,AM,Brasil,bruno92@da.br,(081) 3658-0559,Inativa
162,da Rocha Ltda,- ME Nesciunt,95.637.148/0001-48,1091-1/02 (Fabricação de alimentos),Área Sales,da Cruz,AM,Brasil,elisada-rosa@costa.net,51 0262 1658,Ativa
163,Ramos Caldeira S/A Ltda,S/A Eius,81.945.063/0001-12,7020-4/00 (Consultoria empresarial),"Quadra Isadora Souza, 54",Martins,GO,Brasil,nicolesales@melo.com,0900-676-0929,Inativa
164,Gomes S/A Ltda,S/A Nobis,02.389.156/0001-31,4671-6/00 (Com. atac. insumos agrícolas),"Praça Maria Cecília Ribeiro, 24",Rodrigues das Pedras,MT,Brasil,azevedoenzo@pires.net,(041) 8043-0358,Ativa
165,Azevedo Ltda,- ME Maiores,39.820.457/0001-88,4671-6/00 (Com. atac. insumos agrícolas),Morro Cavalcanti,Fogaça do Oeste,SE,Brasil,ana-lauraporto@das.com,21 8215-9214,Ativa
166,Jesus Ltda,S.A. Deleniti,13.826.047/0001-50,8599-6/04 (Treinamento profissional),"Jardim Mariane Cunha, 2",Santos,ES,Brasil,franciscoporto@sales.br,(011) 8206-9929,Ativa
167,Nogueira Moura e Filhos Ltda,- EI Quisquam,39.514.806/0001-33,4930-2/01 (Transporte de cargas),"Quadra de Barbosa, 653",Araújo,MT,Brasil,jcardoso@lima.com,+55 21 0713-7494,Ativa
168,Almeida Ltda,e Filhos Similique,54.108.639/0001-14,4671-6/00 (Com. atac. insumos agrícolas),"Avenida Fernandes, 21",das Neves,SE,Brasil,lopesraul@araujo.br,71 4903 5552,Inativa
169,da Mota Ltda,- ME Asperiores,04.362.195/0001-70,6619-3/02 (Serviços financeiros),"Feira Arthur Barbosa, 327",Melo,MA,Brasil,ssantos@silva.net,+55 81 4059-4943,Inativa
170,Melo Ltda,- EI Illum,46.705.839/0001-26,2063-1/00 (Fabricação de cosméticos),"Viela da Rocha, 95",Pires de Oliveira,DF,Brasil,gmendes@rocha.com,+55 (031) 0138 6581,Inativa
171,Rocha Ltda. Ltda,e Filhos Possimus,70.495.631/0001-04,8020-0/01 (Monitoramento de segurança),"Conjunto Maria Cecília Viana, 80",Farias,RJ,Brasil,maria-fernandaazevedo@correia.br,(081) 6529 6726,Ativa
172,Dias Azevedo Ltda. Ltda,- ME Unde,71.524.860/0001-72,4930-2/01 (Transporte de cargas),"Lago de Ferreira, 81",Teixeira,PR,Brasil,joao-guilherme48@almeida.net,21 8255 3438,Ativa
173,Nascimento Ltda. Ltda,Ltda. Molestias,41.079.852/0001-01,1091-1/02 (Fabricação de alimentos),Conjunto de Gomes,da Cruz,RJ,Brasil,pazevedo@lima.net,11 1332 2487,Ativa
174,Porto Ltda,Ltda. Earum,53.286.149/0001-45,3511-5/00 (Geração de energia solar),"Favela Samuel Lima, 72",Porto das Pedras,SC,Brasil,laurabarros@silveira.com,(081) 9069-9200,Ativa
175,da Luz Ltda,S/A Aliquid,45.082.371/0001-06,4930-2/01 (Transporte de cargas),"Loteamento de da Rocha, 82",Lopes dos Dourados,PI,Brasil,isabelcastro@porto.com,+55 84 4838 5695,Ativa
176,Moreira - ME Ltda,S/A Culpa,29.481.573/0001-66,1091-1/02 (Fabricação de alimentos),"Rodovia de das Neves, 19",Viana,PR,Brasil,joao-felipe67@da.br,71 6431-8769,Ativa
177,Lopes Ltda,S/A Consequatur,23.741.086/0001-09,4671-6/00 (Com. atac. insumos agrícolas),"Recanto de Costela, 4",da Paz,RN,Brasil,mendessamuel@lima.br,0300 551 4617,Ativa
178,Monteiro Ltda,- ME Consequatur,10.246.798/0001-00,6619-3/02 (Serviços financeiros),Colônia de Lima,Nogueira da Mata,TO,Brasil,barbara03@melo.br,(061) 0110 5920,Inativa
179,Ferreira Ltda,- EI Et,85.361.974/0001-53,8599-6/04 (Treinamento profissional),"Distrito de Cardoso, 66",Gonçalves das Pedras,MT,Brasil,lorenaaragao@da.br,+55 11 2382 7490,Ativa
180,Pires Ltda,- EI Dignissimos,86.149.732/0001-63,2063-1/00 (Fabricação de cosméticos),"Largo de das Neves, 1",Nunes Grande,ES,Brasil,lunapeixoto@da.net,+55 41 9039 1103,Inativa
181,da Costa da Rosa Ltda. Ltda,- ME Quia,61.540.237/0001-50,3511-5/00 (Geração de energia solar),"Avenida Davi Lucas Barros, 14",Cavalcanti,MS,Brasil,miguel27@da.net,+55 31 1627 9878,Ativa
182,Almeida Castro S/A Ltda,- ME Dolor,35.074.826/0001-80,6201-5/01 (Desenvolvimento de software),"Praça Erick Novaes, 5",Peixoto Alegre,PR,Brasil,calebe07@costa.org,+55 31 1833-8464,Ativa
183,Rocha Ltda,- EI Rem,63.850.127/0001-10,8020-0/01 (Monitoramento de segurança),"Favela Bernardo Pinto, 68",Costela,MA,Brasil,costelacaua@barros.com,+55 (084) 8110 1269,Ativa
184,Araújo Ltda,- ME Corporis,38.061.572/0001-53,4671-6/00 (Com. atac. insumos agrícolas),"Lago Juliana da Mata, 696",da Cunha,AM,Brasil,brunada-costa@azevedo.net,+55 71 4477 3498,Ativa
185,Ramos Ltda,Ltda. Numquam,38.609.517/0001-55,2063-1/00 (Fabricação de cosméticos),"Vereda Maitê Farias, 9",Aragão,RR,Brasil,mmoraes@melo.com,(084) 6446-9469,Inativa
186,Costela Aragão S/A Ltda,S.A. Animi,59.763.180/0001-06,1091-1/02 (Fabricação de alimentos),"Rodovia de Nogueira, 79",Correia da Serra,MA,Brasil,luanavieira@fernandes.com,0500 146 4690,Ativa
187,da Rocha Ltda,- EI Id,30.489.251/0001-42,4671-6/00 (Com. atac. insumos agrícolas),"Parque de da Rocha, 10",Santos,RR,Brasil,acorreia@das.br,(071) 5525 5145,Inativa
188,Gomes Ltda,S.A. Neque,96.340.128/0001-73,7020-4/00 (Consultoria empresarial),"Lago Cunha, 10",Moreira,MT,Brasil,portoluiza@freitas.br,+55 11 3511-4774,Inativa
189,Moreira Ltda,- EI Quisquam,21.873.904/0001-00,4930-2/01 (Transporte de cargas),"Lago de Silveira, 77",Moura,GO,Brasil,raquel52@da.com,(021) 6657 1183,Inativa
190,Ramos da Mota - EI Ltda,Ltda. Fugiat,02.958.364/0001-04,1091-1/02 (Fabricação de alimentos),"Lagoa de Melo, 50",Araújo,PB,Brasil,bcosta@cardoso.com,(061) 6342-9771,Inativa
191,Peixoto Ltda,- EI Ipsa,79.824.603/0001-68,2063-1/00 (Fabricação de cosméticos),Feira Pereira,Campos de Rezende,TO,Brasil,vianajoao-gabriel@oliveira.br,+55 (031) 3762-1527,Ativa
192,da Costa Ltda. Ltda,S/A Voluptas,14.862.973/0001-44,6619-3/02 (Serviços financeiros),"Sítio de Aragão, 26",Moura da Prata,PI,Brasil,sgomes@porto.net,(021) 7030 1056,Ativa
193,Jesus Barbosa S/A Ltda,S/A Inventore,74.239.581/0001-55,6201-5/01 (Desenvolvimento de software),"Rua de Lima, 476",Ramos,MA,Brasil,diogoda-mata@fernandes.com,(051) 1031 9580,Inativa
194,Rodrigues Ltda,- ME Cumque,24.318.960/0001-62,1091-1/02 (Fabricação de alimentos),Estrada Castro,Sales,AP,Brasil,joao-vitor85@da.net,21 8927-6308,Inativa
195,Sales Ltda,S.A. Nemo,98.174.623/0001-85,6201-5/01 (Desenvolvimento de software),"Pátio de Moreira, 566",Nunes,PA,Brasil,tsantos@ramos.br,51 0555 7949,Ativa
196,Caldeira S/A Ltda,e Filhos Impedit,24.350.618/0001-40,3511-5/00 (Geração de energia solar),"Jardim Davi Luiz Silva, 300",Cardoso,PA,Brasil,marianemonteiro@da.br,0300 183 8727,Ativa
197,Farias Ltda,S.A. Culpa,47.031.692/0001-07,4930-2/01 (Transporte de cargas),"Área Helena Almeida, 638",Costela,AP,Brasil,das-nevesmariana@nogueira.com,81 3237 9645,Inativa
198,Freitas Jesus e Filhos Ltda,- ME Minima,39.875.164/0001-06,2063-1/00 (Fabricação de cosméticos),"Esplanada Barbosa, 15",da Mota do Amparo,BA,Brasil,da-cunhahelena@moura.net,51 2278 9209,Ativa
199,Nunes S.A. Ltda,S/A Eligendi,96.370.851/0001-03,4671-6/00 (Com. atac. insumos agrícolas),"Largo Rocha, 8",Cunha,RR,Brasil,ana-vitoria50@da.com,+55 21 6431 5357,Ativa
200,Vieira Ltda,S.A. Eveniet,61.730.985/0001-03,4671-6/00 (Com. atac. insumos agrícolas),"Lagoa Silveira, 81",Novaes da Serra,AC,Brasil,cardosoeduardo@castro.com,+55 (084) 6540-9897,Ativa
201,Castro Ltda,e Filhos Laboriosam,40.985.631/0001-21,7020-4/00 (Consultoria empresarial),Travessa Samuel da Mata,da Mata,PE,Brasil,marcos-viniciuspires@cunha.net,+55 81 2132-1477,Ativa
202,Alves Ltda,S.A. Eius,53.072.164/0001-90,3511-5/00 (Geração de energia solar),"Trecho Enrico Nascimento, 75",Nascimento da Praia,TO,Brasil,joao-pedro84@da.com,+55 (061) 4529 9746,Ativa
203,Araújo da Costa - EI Ltda,Ltda. Doloribus,64.805.297/0001-45,2063-1/00 (Fabricação de cosméticos),"Loteamento de Silveira, 49",Fernandes,AC,Brasil,pedro-lucassilveira@ferreira.br,(084) 8655 6643,Inativa
204,Freitas S/A Ltda,Ltda. Officia,28.740.915/0001-52,7020-4/00 (Consultoria empresarial),Largo Gabriela Aragão,Santos do Sul,BA,Brasil,camila19@nogueira.com,+55 (011) 9589 4508,Ativa
205,Nogueira S.A. Ltda,- ME Vitae,74.230.186/0001-01,2063-1/00 (Fabricação de cosméticos),"Campo de Carvalho, 61",Pereira,AM,Brasil,da-rosaemanuel@da.br,+55 21 8343 8341,Inativa
206,Rocha Duarte S/A Ltda,- EI Laborum,04.219.837/0001-87,6619-3/02 (Serviços financeiros),"Vereda de Souza, 49",Cunha da Praia,SP,Brasil,catarinacardoso@sales.br,+55 61 2074-0190,Inativa
207,Rocha Ltda,- ME Rem,71.365.028/0001-70,6619-3/02 (Serviços financeiros),"Rua Juliana Mendes, 35",Moraes,AP,Brasil,samuel61@da.br,21 4452-9013,Ativa
208,Carvalho Ltda,Ltda. Est,47.235.160/0001-83,8020-0/01 (Monitoramento de segurança),"Conjunto de Ribeiro, 68",da Rocha,CE,Brasil,lopesvitor-gabriel@novaes.br,+55 (051) 9522 4292,Ativa
209,Castro Ltda,- EI Laudantium,93.621.487/0001-00,6619-3/02 (Serviços financeiros),Parque Nathan Melo,Lopes de Nogueira,PB,Brasil,costelacecilia@pires.com,+55 11 2152-9829,Ativa
210,das Neves Ltda,S.A. Quos,67.204.581/0001-54,4930-2/01 (Transporte de cargas),"Alameda Rodrigues, 16",Rocha do Norte,TO,Brasil,lrocha@ribeiro.br,71 4901-1333,Ativa
211,Lopes Ltda,e Filhos Quidem,28.617.403/0001-01,3511-5/00 (Geração de energia solar),"Aeroporto João Guilherme Lima, 17",Moreira,SE,Brasil,limagustavo@peixoto.br,(071) 5923-5592,Inativa
212,Nascimento Ltda,Ltda. Itaque,86.230.795/0001-40,2063-1/00 (Fabricação de cosméticos),Rua de Pires,Lima,AC,Brasil,goncalveslaura@caldeira.net,31 5551-8940,Inativa
213,Caldeira Campos - EI Ltda,Ltda. Autem,94.275.816/0001-71,8020-0/01 (Monitoramento de segurança),Setor Rodrigo Pereira,Nogueira dos Dourados,RO,Brasil,souzaandre@ferreira.com,11 1758 6618,Ativa
214,da Luz - ME Ltda,e Filhos Necessitatibus,50.894.127/0001-70,6201-5/01 (Desenvolvimento de software),"Lago Laura Rocha, 24",da Luz do Amparo,AL,Brasil,rpinto@da.com,31 3981 3642,Ativa
215,Peixoto - EI Ltda,Ltda. Sint,72.681.495/0001-72,7020-4/00 (Consultoria empresarial),"Largo de Nascimento, 799",Nascimento,DF,Brasil,da-rochacaroline@santos.net,84 3773-1224,Inativa
216,Costela Ltda,S/A Reiciendis,98.613.507/0001-15,6619-3/02 (Serviços financeiros),"Vereda Paulo Nogueira, 268",Ribeiro da Mata,ES,Brasil,peixotonicolas@rocha.br,(071) 5925 4972,Inativa
217,Lima Cardoso - ME Ltda,S.A. Explicabo,12.547.308/0001-30,1091-1/02 (Fabricação de alimentos),"Viela Peixoto, 14",Almeida Alegre,MT,Brasil,da-motadiego@barbosa.br,0500 432 8158,Ativa
218,da Mota Silveira - ME Ltda,e Filhos Dolorem,60.428.531/0001-01,2063-1/00 (Fabricação de cosméticos),"Área Ana Beatriz Azevedo, 103",Carvalho,DF,Brasil,soliveira@cavalcanti.com,+55 41 5122-8378,Inativa
219,Pinto - EI Ltda,- EI Eveniet,85.473.902/0001-06,3511-5/00 (Geração de energia solar),Pátio de Cardoso,Gonçalves da Prata,SC,Brasil,barrosvinicius@castro.com,(071) 8393 5110,Inativa
220,Martins - ME Ltda,- ME Sunt,67.528.013/0001-09,4930-2/01 (Transporte de cargas),Loteamento de Cunha,Mendes do Norte,PB,Brasil,wda-luz@rezende.net,11 9909 3813,Inativa
221,da Luz - ME Ltda,- ME Excepturi,41.035.796/0001-03,6201-5/01 (Desenvolvimento de software),"Avenida de Rocha, 73",Barbosa,DF,Brasil,helenaaragao@campos.com,+55 (081) 6879-0786,Ativa
222,Aragão Ltda,- ME Voluptatibus,27.301.865/0001-44,7020-4/00 (Consultoria empresarial),"Condomínio Maria Luiza Novaes, 96",Lima da Serra,PA,Brasil,manuela81@carvalho.br,+55 (021) 8746 9775,Ativa
223,Santos Ltda,- EI Exercitationem,05.361.248/0001-00,3511-5/00 (Geração de energia solar),"Lago Fernando Araújo, 82",Vieira,RO,Brasil,dsales@barbosa.com,0900-139-1832,Inativa
224,Jesus Ltda,S.A. Tempora,34.726.150/0001-07,6201-5/01 (Desenvolvimento de software),"Pátio de da Rocha, 90",Freitas,RJ,Brasil,leonardo43@souza.com,11 4830-5667,Ativa
225,Pereira Ltda,e Filhos Facilis,48.965.270/0001-63,2063-1/00 (Fabricação de cosméticos),"Núcleo Costa, 85",Moreira de da Costa,CE,Brasil,novaesjulia@cavalcanti.org,+55 84 7943-4082,Inativa
226,Moraes Melo e Filhos Ltda,- EI Eligendi,71.928.340/0001-25,7020-4/00 (Consultoria empresarial),"Parque Cardoso, 63",da Conceição,PB,Brasil,gpeixoto@costela.net,(084) 1018-0085,Inativa
227,Moreira S/A Ltda,S.A. Optio,81.365.240/0001-91,8020-0/01 (Monitoramento de segurança),"Vereda João Gabriel Duarte, 10",Lopes de Teixeira,MG,Brasil,barbosaelisa@da.com,+55 41 7888-3037,Ativa
228,Costela S/A Ltda,S.A. Odio,37.156.294/0001-55,7020-4/00 (Consultoria empresarial),"Travessa Lucca Farias, 5",Rocha das Flores,RO,Brasil,murilogoncalves@almeida.net,+55 21 3701-6517,Inativa
229,Moreira - ME Ltda,e Filhos Possimus,04.816.725/0001-03,4930-2/01 (Transporte de cargas),"Colônia Oliveira, 28",Ferreira Paulista,PA,Brasil,aporto@peixoto.org,+55 51 2888 9960,Ativa
230,da Mata Ltda,- ME Voluptate,84.052.793/0001-82,8020-0/01 (Monitoramento de segurança),"Estrada Davi Lucas da Rocha, 4",Monteiro,PI,Brasil,ana-beatriz17@pereira.com,0900 750 0438,Inativa
231,Novaes Ribeiro - EI Ltda,- ME Eligendi,35.742.698/0001-03,4930-2/01 (Transporte de cargas),"Jardim Miguel Rodrigues, 110",Nogueira do Galho,RS,Brasil,pda-mota@nascimento.com,(061) 7358 5990,Inativa
232,das Neves - ME Ltda,- ME Praesentium,49.102.683/0001-87,6201-5/01 (Desenvolvimento de software),"Travessa de Martins, 82",Costa da Praia,TO,Brasil,carvalhohenrique@cavalcanti.br,51 2570 8345,Ativa
233,da Cunha Nogueira - EI Ltda,- EI Impedit,41.695.207/0001-05,2063-1/00 (Fabricação de cosméticos),"Núcleo Kaique Pinto, 11",Araújo de Farias,AP,Brasil,maria-eduarda19@pinto.com,+55 61 1963-8532,Ativa
234,Campos Ltda,- EI Minus,18.240.395/0001-65,6201-5/01 (Desenvolvimento de software),"Largo de da Cruz, 704",Barbosa do Oeste,PI,Brasil,salesjoao-gabriel@ramos.br,+55 61 4396 3111,Ativa
235,da Rocha Ltda,Ltda. Accusantium,15.340.786/0001-63,8020-0/01 (Monitoramento de segurança),Vila Cardoso,Moura de da Rosa,RN,Brasil,maria-vitoriafogaca@peixoto.org,(051) 9813 3662,Ativa
236,Duarte S.A. Ltda,Ltda. Nostrum,46.085.731/0001-88,1091-1/02 (Fabricação de alimentos),"Passarela Cavalcanti, 2",Gomes,AL,Brasil,nogueiragabrielly@rodrigues.com,81 3330 1133,Ativa
237,Moura Ltda,- EI Labore,50.637.491/0001-54,6619-3/02 (Serviços financeiros),"Aeroporto da Rosa, 76",Rodrigues,SP,Brasil,maria-alice88@peixoto.net,+55 (031) 6521 3565,Inativa
238,da Mata Ltda,S.A. Repudiandae,36.194.572/0001-04,8599-6/04 (Treinamento profissional),"Aeroporto João Guilherme Jesus, 95",Oliveira dos Dourados,CE,Brasil,davi-luiz35@da.com,(061) 8154 9014,Inativa
239,Pires Freitas Ltda. Ltda,S/A Quidem,12.904.763/0001-46,2063-1/00 (Fabricação de cosméticos),"Vila Diogo Cardoso, 39",Cunha Paulista,PE,Brasil,pfreitas@goncalves.br,+55 (081) 6754-0924,Ativa
240,Jesus Jesus S.A. Ltda,S.A. Itaque,28.160.394/0001-64,6201-5/01 (Desenvolvimento de software),Viaduto Gonçalves,Barbosa,GO,Brasil,araujodavi-lucca@ferreira.br,(011) 6298-1967,Inativa
241,Jesus Ltda,- EI Pariatur,17.603.829/0001-81,8020-0/01 (Monitoramento de segurança),"Passarela Costela, 363",Silveira,AP,Brasil,joao-pedromoreira@goncalves.br,(084) 8905-4468,Inativa
242,Aragão Ltda,Ltda. Nobis,03.172.469/0001-04,4671-6/00 (Com. atac. insumos agrícolas),"Trecho Souza, 51",Nascimento,RO,Brasil,ccosta@alves.com,11 7334 5322,Inativa
243,da Rosa Ltda,- ME Ea,25.480.193/0001-56,7020-4/00 (Consultoria empresarial),Praia de Silva,Pereira,SC,Brasil,ana-liviateixeira@moura.br,+55 84 9917-5312,Inativa
244,Araújo - ME Ltda,S/A Laboriosam,95.187.243/0001-97,3511-5/00 (Geração de energia solar),Conjunto de Mendes,da Mata Grande,AL,Brasil,paulo33@pires.com,41 4819-0329,Ativa
245,Araújo Ltda,S.A. Odio,67.892.431/0001-80,6619-3/02 (Serviços financeiros),Campo Ana Clara da Paz,Cardoso,MS,Brasil,nogueiramaria-vitoria@peixoto.net,(081) 7058 2449,Ativa
246,Costela S/A Ltda,S.A. Quod,45.692.310/0001-52,6201-5/01 (Desenvolvimento de software),"Vereda Pedro da Luz, 5",Fogaça,ES,Brasil,acosta@pires.br,81 1034 0392,Inativa
